filename,psnr,ssim
test017,24.6986,0.373109
test047,22.9894,0.605211
test043,23.7164,0.519283
test002,23.6352,0.377912
test040,22.7525,0.505448
test051,22.8306,0.54087
test046,22.2407,0.614227
test019,23.0329,0.492756
test014,24.0684,0.420207
test032,23.0406,0.661341
test038,24.2354,0.379357
test026,23.3916,0.531326
test041,23.3589,0.531488
test010,23.9879,0.465518
test042,23.2674,0.445585
test059,23.6749,0.406671
test063,22.9076,0.650417
test029,21.752,0.511998
test021,22.9376,0.448776
test044,22.5145,0.532935
test005,22.3963,0.573072
test061,23.8548,0.39933
test039,24.3658,0.337128
test006,23.5807,0.395816
test028,24.1732,0.42246
test001,23.6977,0.423352
test052,23.3085,0.405322
test016,22.9866,0.643616
test045,24.551,0.284261
test050,22.2346,0.57458
test060,24.1024,0.373761
test062,24.8844,0.334068
test009,23.8885,0.509971
test011,22.4172,0.590668
test004,24.0505,0.467034
test055,23.7246,0.41173
test022,22.9522,0.63429
test036,23.3192,0.439853
test064,23.642,0.417961
test025,23.719,0.459288
test003,23.7101,0.369893
test056,21.3668,0.666073
test058,23.7124,0.37658
test054,23.8777,0.406036
test068,22.361,0.589694
test067,22.4062,0.533259
test053,23.6547,0.379105
test012,23.6742,0.548442
test035,23.539,0.520239
test007,23.6814,0.573182
Average,23.3773,0.48149
